,FEATURE,0-1.2 BEFORE,0-1.2 IN,0-1.2 AFTER,1.2-1.4 BEFORE,1.2-1.4 IN,1.2-1.4 AFTER,1.4-1.6 BEFORE,1.4-1.6 IN,1.4-1.6 AFTER,1.6-1.8 BEFORE,1.6-1.8 IN,1.6-1.8 AFTER,1.8-2.0 BEFORE,1.8-2.0 IN,1.8-2.0 AFTER,2.0-inf BEFORE,2.0-inf IN,2.0-inf AFTER
1314,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1334,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1339,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1363,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1366,gene,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,CDS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1387,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1399,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1410,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1422,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1424,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1426,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1437,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1446,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1451,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1453,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1454,gene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1455,CDS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1459,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1463,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1466,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1467,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1468,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1469,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1471,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1473,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1474,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1481,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1485,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1487,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1489,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1493,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1496,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1509,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1515,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1516,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1517,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1518,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1521,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1524,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1525,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1526,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1527,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1528,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1533,gene,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1534,CDS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1535,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1543,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1545,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1549,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1553,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1554,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1555,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1556,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1557,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1558,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1559,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1562,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1564,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1568,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1569,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1571,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1572,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1573,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1576,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1577,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1578,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1581,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1583,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,gene,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,CDS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1618,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1628,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1629,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1630,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1631,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1633,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1634,tRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
