,FEATURE,0-1.2 BEFORE,0-1.2 IN,0-1.2 AFTER,1.2-1.4 BEFORE,1.2-1.4 IN,1.2-1.4 AFTER,1.4-1.6 BEFORE,1.4-1.6 IN,1.4-1.6 AFTER,1.6-1.8 BEFORE,1.6-1.8 IN,1.6-1.8 AFTER,1.8-2.0 BEFORE,1.8-2.0 IN,1.8-2.0 AFTER,2.0-inf BEFORE,2.0-inf IN,2.0-inf AFTER
93,CDS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,gene,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,CDS,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,gene,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,CDS,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,gene,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,CDS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,CDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,gene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
